Structure,σ(RT)(S cm-1),Ea (eV),space group,ICSD Entry
Li5.70La3Ta1.65Sm0.35O12,2.15E-05,,230,259167
Li5.90La3Ta1.55Sm0.45O12,1.18E-05,,230,259168
Li6.10La3Ta1.45Sm0.55O12,1.40E-05,,230,259169
Li7La3Zr2O12,5.69E-04,0.36,230,422259
Li5La3Nb2O12,4.99E-06,,230,
Li5La3Nb1.95Y0.05O12,1.32E-05,,230,
Li5La3Nb1.9Y0.1O12,1.43E-05,,230,
Li5La3Nb1.85Y0.15O12,5.85E-06,,230,
Li5La3Nb1.8Y0.2O12,9.05E-06,,230,
Li5La3Nb1.75Y0.25O12,9.42E-06,,230,
Li6.24La3Zr2Al0.24O11.98,4.00E-04,0.26,230,
Li7La3Zr2O12-0.3Ga,3.80E-05,0.37,230,
Li7La3Zr2O12-0.4Ga,4.40E-05,0.36,230,
Li7La3Zr2O12-0.5Ga,8.90E-05,0.36,230,
Li7La3Zr2O12-Ga,5.40E-04,0.32,230,
La3Zr2Ga0.5Li5.5O12,1.00E-04,,230,
Li6.8La3Zr1.8Sb0.2O12,5.90E-05,0.39,230,
Li6.6La3Zr1.6Sb0.4O12,7.70E-04,0.34,230,
Li6.4La3Zr1.4Sb0.6O12,6.60E-04,0.36,230,
Li6.2La3Zr1.2Sb0.8O12,4.50E-04,0.37,230,
Li6La3ZrSbO12,2.60E-04,0.38,230,
Li6.5La3Zr1.75Te0.25O12-0.07Al,4.00E-04,0.33,230,
Li6.65La2.75Ba0.25Zr1.4Ta0.5Nb0.1O12,5.27E-04,0.26,230,
Li6.4La3Zr1.4Ta0.6O12,7.24E-04,0.24,230,
Li6.4La3Zr1.4Ta0.5Nb0.1O12,4.44E-04,0.27,230,
Li6.4La3Zr1.4Ta0.4Nb0.2O12,4.55E-04,0.28,230,
Li6.4La3Zr1.4Ta0.3Nb0.3O12,6.06E-04,0.26,230,
Li7La3Zr2O12,1.74E-04,0.26,230,
Li3Nd3Te2O12,<1E-10,1.22,230,
Li7.131La3Zr2O12Al0.244,7.73E-05,,230,
Li6.949La3Zr2O12Al0.262,2.25E-04,,230,
Li6.835La3Zr2O12Al0.231,2.20E-04,,230,
Li6.660La3Zr2O12Al0.258,1.51E-04,,230,
Li6.75La3Zr1.75Ta0.25O12,4.10E-04,0.42,230,
Li6.5La3Zr1.5Ta0.5O12,6.10E-04,0.4,230,
Li6La3ZrTaO12,2.10E-04,0.42,230,
Li3Gd3Te2O12,<1E-10,,230,
Li3Tb3Te2O12,<1E-10,,230,
Li3Er3Te2O12,<1E-10,,230,
Li3Lu3Te2O12,<1E10,,230,
Li2S*P2S5,3.20E-03,,,
0.7Li2S-0.3P2S5,5.40E-05,,,
Li3.8Ge0.8P0.2S4,1.75E-06,0.466,,
Li3.6Ge0.6P0.4S4,1.74E-04,0.339,,
Li3.4Ge0.4P0.6S4,6.53E-04,0.275,,
Li3.35Ge0.35P0.65S4,1.53E-03,0.229,,
Li3.3Ge0.3P0.7S4,1.76E-03,0.221,,
Li3.2Ge0.2P0.8S4,5.57E-04,0.275,,
Li2.9Ca0.05InBr6,2.16E-04,,,
Li2.86Ca0.07InBr6,4.04E-04,,,
Li2.8Ca0.1InBr6,3.00E-04,,,
Li2.7Ca0.15InBr6,6.97E-05,,,
Li3.9Zn0.05GeS4,2.72E-07,0.517,,
Li3.8Zn0.1GeS4,9.95E-08,0.545,,
Li3.6Zn0.2GeS4,5.90E-08,0.539,,
Li2GeS3,9.70E-09,,,
Li2ZnGeS4,1.40E-09,,,
Li9.6P3S12,1.20E-03,0.259,,
Li1.3Al0.3Ge1.7(PO4)3,8.24E-05,0.386,,
Li1.6Al0.6Ge1.4(PO4)3,2.84E-04,0.43,,
LiTi2(PO4)3-0.2Li2O,2.40E-04,,,
LiTi2(PO4)3-0.3Li2O,1.50E-03,,,
LiTi2(PO4)3-0.4Li2O,1.30E-04,,,
Li1.3Al0.3Ti1.7(PO4)3-0.3Li2O,3.50E-04,,,
LiTi2(PO4)3-0.1Li4P2O7,1.60E-04,,,
Li1.4Al0.4Ti1.6 (PO4)3,3.38E-03,0.3,,
Li1.2Ge0.2Ti1.8(PO4)3,7.94E-05,0.27,,
Li1.5Ge0.5Ti1.5(PO4)3,1.90E-04,0.33,,
Li1.2Al0.2Ti1.8(PO4)3,3.38E-03,0.28,,427619
Li3ClO,8.50E-04,0.26,,
Li3Cl0.5Br0.5O,1.94E-03,0.18,,
Li3OCl,1.47E-04,0.26,,
Li3OCl0.5Br0.5,9.49E-04,0.18,,
Li6.6La2.6Ce0.4Zr2O12,1.44E-05,0.48,,
Li1.4Al0.4Ti1.6(PO4)3,1.10E-03,,,
80Li2S * 20P2S5,7.20E-04,,,
0.8Li2S-0.2P2S5,7.20E-04,,,
0.75Li2S-0.25P2S5,2.80E-04,,,
Li2S*P2S5*P2S3,5.40E-03,,,
Li2S*P2S5*Li3N,1.40E-03,,,
Li5La3Nb1.9Y0.1O12,1.44E-05,0.55,,
Li7La3Zr2O12,2.35E-04,0.339,,
Li6.88La3Zr1.88Nb0.12O12,5.99E-04,0.319,,
Li6.75La3Zr1.75Nb0.25O12,7.71E-04,0.3,,
Li6.62La3Zr1.62Nb0.38O12,4.41E-04,0.31,,
Li6.5La3Zr1.5Nb0.5O12,2.98E-04,0.319,,
Li6La3ZrNbO12,1.50E-04,0.42,,
Li5La3Nb2O12,3.00E-05,0.44,,
Li7La3Hf2O12,2.40E-04,0.29,,
Li7GePS8,7.00E-03,0.22,,
Li10(Ge0.95Si0.05)P2S12,8.63E-03,0.251,,
Li10(Ge0.9Si0.1)P2S12,8.07E-03,0.26,,
Li10(Ge0.8Si0.2)P2S12,7.28E-03,0.261,,
Li10(Ge0.7Si0.3)P2S12,5.82E-03,0.265,,
Li10(Ge0.6Si0.4)P2S12,5.24E-03,0.28,,
Li10(Ge0.5Si0.5)P2S12,4.20E-03,0.284,,
Li10(Ge0.2Si0.8)P2S12,4.81E-03,0.269,,
Li10(Ge0.95Sn0.05)P2S12,7.80E-03,0.254,,
Li10(Ge0.9Sn0.1)P2S12,7.53E-03,0.256,,
Li10(Ge0.8Sn0.2)P2S12,7.06E-03,0.252,,
Li10(Ge0.7Sn0.3)P2S12,6.49E-03,0.254,,
Li10(Ge0.5Sn0.5)P2S12,6.17E-03,0.249,,
Li10(Ge0.4Sn0.6)P2S12,5.76E-03,0.265,,
Li10(Ge0.3Sn0.7)P2S12,5.56E-03,0.261,,
Li10(Ge0.2Sn0.8)P2S12,4.77E-03,0.269,,
0.5(Li2O) * 0.5(P2O5),1.10E-09,0.71,,
0.58(Li2O) * 0.5(P2O5),2.00E-08,0.6,,
0.6(Li2O) * 0.5(P2O5),3.00E-08,0.61,,
0.63(Li2O) * 0.5(P2O5),1.30E-07,0.56,,
0.66(Li2O) * 0.5(P2O5),2.30E-07,0.55,,
0.7(Li2O) * 0.5(P2O5),3.00E-07,0.57,,
0.2(Li2S) 0.8(GeS2),1.10E-07,0.52,,
0.3(Li2S) 0.7(GeS2),9.30E-07,0.48,,
0.4(Li2S) 0.6(GeS2),2.90E-06,0.42,,
0.5(Li2S) 0.5(GeS2),3.30E-05,0.35,,
0.6(Li2S) 0.4(GeS2),9.20E-05,0.32,,
0.63(Li2S) 0.37(GeS2),1.50E-04,0.34,,
0.66(Li2S) 0.34(GeS2),1.00E-04,0.37,,
0.7(Li2S) 0.3(GeS2),1.20E-04,0.34,,
Li2O-P2O5,1.10E-09,0.71,,
0.58Li2O-0.42P2O5,2.00E-08,0.6,,
0.6Li2O-0.4P2O5,3.00E-08,0.61,,
0.63Li2O-0.37P2O5,1.30E-07,0.56,,
0.66Li2O-0.34P2O5,2.30E-07,0.55,,
0.7Li2O-0.3P2O5,3.00E-07,0.57,,
0.2Li2S-0.8GeS2,1.10E-07,0.52,,
0.3Li2S-0.7GeS2,9.30E-07,0.48,,
0.4Li2S-0.6GeS2,2.90E-06,0.42,,
0.5Li2S-0.5GeS2,3.30E-05,0.35,,
0.6Li2S-0.4GeS2,9.20E-05,0.32,,
0.63Li2S-0.37GeS2,1.50E-04,0.34,,
0.66Li2S-0.34GeS2,1.00E-04,0.37,,
0.7Li2S-0.3GeS2,1.20E-04,0.34,,
Li6.55La3Zr2Ga0.15O12,1.30E-03,0.3,,
Li6.40La3Zr2Ga0.2O12,9.00E-04,0.3,,
Li6.10La3Zr2Ga0.25O12,7.00E-05,0.3,,
Li6.8La3Zr1.8Sb0.2O12,5.90E-05,0.39,,
Li6.6La3Zr1.6Sb0.4O12,7.70E-04,0.34,,
Li6.4La3Zr1.4Sb0.6O12,6.60E-04,0.36,,
Li6.2La3Zr1.2Sb0.8O12,4.50E-04,0.37,,
Li6La3ZrSbO12,2.60E-04,0.38,,
Li(In0.62Li1.38)Br3.92,4.90E-06,0.58,,
Li3InBr6,1.77E-04,,,
Li3InBr4Cl2,7.58E-06,,,
Li3InBr3Cl3,1.14E-04,,,
Li3InBr2.5Cl3.5,3.60E-06,,,
Li3InBr2Cl4,6.89E-08,,,
Li1.8Mg1.1Cl4,1.52E-06,,,
Li1.6Mg1.2Cl4,3.07E-06,,,
Li1.34Mg1.33Cl4,3.07E-06,,,
Li1.9Mn1.05Cl4,4.61E-06,,,
Li1.72Mn1.14Cl4,3.62E-06,,,
Li1.6Mn1.2Cl4,1.45E-05,,,
Li1.52Mn1.24Cl4,1.85E-05,,,
Li1.34Mn1.33Cl4,9.57E-06,,,
Li1.94Cl1.03Cl4,2.56E-06,,,
Li1.90Cd1.05Cl4,3.50E-06,,,
Li2OHBrF,7.10E-07,,,
Li2OHBr0.99F0.01,9.16E-07,,,
Li2OHBr0.98F0.02,1.11E-06,,,
Li2OHBr0.95F0.05,6.75E-07,,,
Li2OHBr0.9F0.1,6.80E-07,,,
Li2OHBr0.8F0.2,5.44E-07,,,
Li3(OH)2Cl,2.72E-08,0.88,,
Li5(OH)3Cl2,2.52E-08,0.75,,
Li2OHCl,4.28E-08,0.56,,
Li5(OH)2Cl3,1.48E-07,0.49,,
Li3OHCl2,8.92E-08,0.67,,
Li3.7Zn0.15GeO4,4.63E-07,,,
Li3.5Zn0.25GeO4,2.42E-07,,,
Li3.1Zn0.45GeO4,9.89E-08,,,
Li2.8Zn0.6GeO4,1.27E-07,,,
Li2.6Zn0.7GeO4,5.79E-08,,,
Li2.3Zn0.85GeO4,4.23E-09,,,
Li7La2.75Ca0.25Zr1.75Nb0.25O12,2.20E-04,0.35,,
Li1.5Cr0.5Ti1.5(PO4)3,1.98E-04,0.29,,
Li3V2(PO4)3,2.09E-07,,,
Li3V1.8Al0.2(PO4)3,1.88E-06,,,
Li3V1.6Al0.4(PO4)3,6.21E-06,,,
Li3V1.4Al0.6(PO4)3,9.34E-07,,,
Li7P2.9Mn0.1S10.7I0.3,5.60E-03,0.22,,
0.3 Li2S * 0.7 SiS2,1.60E-06,0.46,,
0.4 Li2S * 0.6 SiS2,2.80E-05,0.38,,
0.5 Li2S * 0.5 SiS2,1.00E-04,0.32,,
0.6 Li2S * 0.4 SiS2,5.00E-04,0.25,,
(2Li2S-P2S5),1.12E-04,,,
(2Li2S-P2S5)0.85(LiI)0.15,2.35E-04,,,
(2Li2S-P2S5)0.75(LiI)0.25,3.96E-04,,,
(2Li2S-P2S5)0.60(LiI)0.40,7.60E-04,,,
(2Li2S-P2S5)0.55(LiI)0.45,1.12E-03,,,
0.14 SiS2-0.09 P2S5-0.47 Li2S-0.30 LiI,1.32E-03,0.34,,
0.26B2S3 – 0.3Li2S – 0.44LiI,1.57E-03,0.3,,
0.26B2S3 – 0.31Li2S – 0.43LiI,7.99E-04,0.33,,
0.27B2S3 – 0.32Li2S – 0.41LiI,4.25E-04,0.35,,
0.5 SiS2-0.5 Li2S,1.50E-04,0.34,,
0.1 LiBr-0.45 SiS2-0.45 Li2S,1.90E-04,0.3,,
0.2 LiBr-0.4 SiS2-0.4 Li2S,2.10E-04,0.33,,
0.25 LiBr-0.38 SiS2-0.38 Li2S,2.40E-04,0.31,,
0.3 LiBr-0.3 SiS2-0.35 Li2S,3.20E-04,0.33,,
0.35 LiBr-0.33 SiS2-0.33 Li2S,2.30E-04,0.38,,
0.4 LiBr-0.3 SiS2-0.3 Li2S,1.10E-04,0.42,,
SiS2-Li2S,1.20E-04,0.35,,
0.9(SiS2-Li2S)-0.1LiCl,1.84E-04,0.34,,
0.8(SiS2-Li2S)-0.2LiCl,2.35E-04,0.33,,
0.75(SiS2-Li2S)-0.25LiCl,2.66E-04,0.35,,
0.7(SiS2-Li2S)-0.3LiCl,2.33E-04,0.35,,
0.65(SiS2-Li2S)-0.35LiCl,1.78E-04,0.36,,
0.6(SiS2-Li2S)-0.4LiCl,9.30E-05,0.34,,
(0.4SiS2-0.6Li2S),5.30E-04,0.33,,
0.9(0.4SiS2-0.6Li2S)-0.1LiI,6.50E-04,0.31,,
0.8(0.4SiS2-0.6Li2S)-0.2LiI,7.70E-04,0.3,,
0.7(0.4SiS2-0.6Li2S)-0.3LiI,1.15E-03,0.29,,
0.6(0.4SiS2-0.6Li2S)-0.4LiI,1.78E-03,0.28,,
0.55(0.4SiS2-0.6Li2S)-0.45LiI,1.41E-03,0.29,,
0.24SiS2-0.36Li2S-0.4LiI,1.80E-03,0.28,,
0.28SiS2-0.42Li2S-0.30LiI,1.80E-03,0.31,,
0.14SiS2-0.09P2S5-0.47Li2S-0.30LiI,2.10E-03,0.34,,
0.27SiS2-0.03Al2S3-0.30Li2S-0.40LiI,1.20E-03,0.34,,
0.21SiS2-0.09B2S3-0.30Li2S-0.40LiI,1.70E-03,0.3,,
0.30Li2S-0.7GeS­2,4.40E-07,0.63,,
0.40Li2S-0.60GeS2,3.20E-06,0.52,,
0.50Li2S-0.50GeS2,4.00E-05,0.51,,
0.3Li2S-0.7P2S5,1.70E-02,0.18,,
0.7Li2S-0.3P2S5,3.20E-03,0.12,,
0.6Li2S-0.4P2S5,1.50E-04,0.31,,
0.95(0.6Li2S-0.4SiS2)- 0.05Li4SiO4,1.58E-03,0.34,,
0.9(0.6Li2S-0.4SiS2)- 0.1Li4SiO4,4.34E-04,0.37,,
0.8(0.6Li2S-0.4SiS2)- 0.2Li4SiO4,1.59E-04,0.43,,
0.95(0.6Li2S-0.4SiS2)-0.05Li3PO4,8.68E-04,0.35,,
0.7(0.6Li2S-0.4SiS2)- 0.3Li3PO4,2.08E-05,0.46,,
0.6(0.6Li2S-0.4SiS2)- 0.4Li3PO4,5.33E-06,0.51,,
0.95(0.6Li2S-0.4SiS2)-0.05Li4GeO4,1.19E-03,0.28,,
0.9(0.6Li2S-0.4SiS2)- 0.1Li4GeO4,3.18E-04,0.35,,
0.85(0.6Li2S-0.4SiS2)- 0.15Li4GeO4,1.14E-04,0.4,,
0.95(0.6Li2S-0.4SiS2)-0.05Li3BO3,1.44E-03,0.33,,
0.93(0.6Li2S-0.4SiS2)-0.07Li3BO3,3.84E-04,0.35,,
0.85(0.6Li2S-0.4SiS2)-0.15Li3BO3,3.42E-04,0.36,,
0.75(0.6Li2S-0.4SiS2)-0.25Li3BO3,7.06E-05,0.38,,
0.95(0.6Li2S-0.4SiS2)-0.05Li3AlO3,1.31E-03,0.31,,
0.94(0.6Li2S-0.4SiS2)-0.06Li3AlO3,6.83E-04,0.34,,
0.92(0.6Li2S-0.4SiS2)-0.08Li3AlO3,4.04E-04,0.34,,
0.825(0.6Li2S-0.4SiS2)- 0.175Li3AlO3,1.31E-04,0.36,,
0.975(0.6Li2S-0.4SiS2)-0.025Li3GaO3,6.82E-04,0.31,,
0.95(0.6Li2S-0.4SiS2)-0.05Li3GaO3,3.25E-04,0.32,,
0.92(0.6Li2S-0.4SiS2)-0.08Li3GaO3,3.03E-04,0.35,,
0.89(0.6Li2S-0.4SiS2)-0.11Li3GaO3,1.13E-04,0.38,,
0.97(0.6Li2S-0.4SiS2)-0.03Li3InO3,3.09E-04,0.34,,
0.95(0.6Li2S-0.4SiS2)-0.05Li3InO3,3.25E-04,0.35,,
0.9(0.6Li2S-0.4SiS2)-0.1Li3InO3,6.84E-05,0.4,,
0.95(0.6Li2S-0.4SiS2)-0.05Li4SiO4,1.54E-03,0.38,,
0.9(0.6Li2S-0.4SiS2)-0.1Li4SiO4,4.39E-04,0.4,,
0.95(0.6Li2S-0.4SiS2)-0.05Li2SO4,4.53E-04,0.41,,
0.9(0.6Li2S-0.4SiS2)-0.1Li2SO4,4.70E-05,0.45,,
0.5Li2O-0.1TiO2-0.4P2O5,5.67E-08,0.56,,
0.5025Li2O-0.0025Al2O3-0.095TiO2-0.4P2O5,1.56E-08,0.55,,
0.505Li2O-0.005Al2O3-0.09TiO2-0.4P2O5,1.78E-07,0.5,,
0.5075Li2O-0.0075Al2O3-0.085TiO2-0.4P2O5,2.51E-07,0.57,,
0.51Li2O-0.01Al2O3-0.08TiO2-0.4P2O5,1.58E-07,0.55,,
0.515Li2O-0.015Al2O3-0.07TiO2-0.4P2O5,1.25E-07,0.56,,
0.525Li2O-0.025Al2O3-0.05TiO2-0.4P2O5,2.17E-07,0.56,,
0.53Li2O-0.03Al2O3-0.04TiO2-0.4P2O5,2.72E-07,0.54,,
0.54Li2O-0.04Al2O3-0.02TiO2-0.4P2O5,1.97E-07,0.55,,
0.545Li2O-0.045Al2O3-0.01TiO2-0.4P2O5,7.14E-08,0.56,,
0.95(0.6Li2S-0.4SiS2)-0.05Li4SiO4,1.51E-03,0.34,,
0.90(0.6Li2S-0.4SiS2)-0.1Li4SiO4,4.34E-04,0.37,,
0.8(0.6Li2S-0.4SiS2)-0.2Li4SiO4,1.63E-04,0.43,,
0.95(0.6Li2S-0.4SiS2)-0.05Li3PO4,9.32E-04,0.35,,
0.9(0.6Li2S-0.4SiS2)-0.1Li3PO4,4.55E-04,0.37,,
0.7(0.6Li2S-0.4SiS2)-0.3Li3PO4,2.08E-05,0.46,,
0.6(0.6Li2S-0.4SiS2)-0.4Li3PO4,5.33E-06,0.51,,
0.95(0.6Li2S-0.4SiS2)-0.05Li4GeO4,1.21E-03,0.28,,
0.9(0.6Li2S-0.4SiS2)-0.1Li4GeO4,3.18E-04,0.34,,
0.85(0.6Li2S-0.4SiS2)-0.15Li4GeO4,1.14E-04,0.41,,
Li7PS6,8.00E-05,,,
0.7Li2S-0.3P2S5,3.20E-03,0.12,,
0.95(0.6Li2S-0.4SiS2)-0.05Li3BO3,1.40E-03,,,
0.93(0.6Li2S-0.4SiS2)-0.07Li3BO3,3.71E-04,,,
0.85(0.6Li2S-0.4SiS2)-0.15Li3BO3,3.39E-04,,,
0.75(0.6Li2S-0.4SiS2)-0.25Li3BO3,7.15E-05,,,
0.95(0.6Li2S-0.4SiS2)-0.05Li3AlO3,1.22E-03,,,
0.94(0.6Li2S-0.4SiS2)-0.06Li3AlO3,6.67E-04,,,
0.92(0.6Li2S-0.4SiS2)-0.08Li3AlO3,3.94E-04,,,
0.825(0.6Li2S-0.4SiS2)-0.175Li3AlO3,1.25E-04,,,
0.975(0.6Li2S-0.4SiS2)-0.025Li3GaO3,7.05E-04,,,
0.95(0.6Li2S-0.4SiS2)-0.05Li3GaO3,3.36E-04,,,
0.92(0.6Li2S-0.4SiS2)-0.08Li3GaO3,3.06E-04,,,
0.89(0.6Li2S-0.4SiS2)-0.11Li3GaO3,1.20E-04,,,
0.97(0.6Li2S-0.4SiS2)-0.03Li3InO3,3.11E-04,,,
0.95(0.6Li2S-0.4SiS2)-0.05Li3InO3,2.99E-04,,,
0.90(0.6Li2S-0.4SiS2)-0.10Li3InO3,6.81E-05,,,
(0.67Li2S-0.33SiS2)-(0.75Li2S-0.25P2S5),1.20E-03,0.28,,
0.2Li3N-0.8SiS2,1.46E-06,0.45,,
0.3Li3N-0.7SiS2,2.97E-05,0.36,,
0.4Li3N-0.6SiS2,2.74E-04,0.3,,
0.5Li3N-0.5SiS2,4.47E-05,0.34,,
0.6Li3N-0.4SiS2,2.25E-08,0.63,,
0.6Li2S-0.4P2S3,5.70E-06,,,
0.63Li2S-0.37P2S3,2.55E-05,,,
0.667Li2S-0.333P2S3,1.10E-04,0.4,,
0.7Li2S-0.3P2S3,7.90E-05,,,
0.75Li2S-0.25P2S3,5.08E-05,,,
0.6Li2S-0.4SiS2,5.10E-04,0.33,,
0.555Li2S-0.4SiS2-0.045Li3N,1.50E-03,0.28,,
0.525Li2S-0.4SiS2-0.075Li3N,9.60E-04,0.29,,
0.1Li2O-0.1LiCl-0.65B2O3-0.1SiO2-0.05Al2O3,1.90E-04,0.427,,
0.75Li2O-0.25P2S5,1.80E-05,0.48,,
0.75(0.7Li2O-0.3Li2S)-0.25P2S5,2.42E-05,0.48,,
0.75(0.5Li2O-0.5Li2S)-0.25P2S5,2.83E-05,0.46,,
0.75(0.4Li2O-0.6Li2S)-0.25P2S5,4.99E-05,0.44,,
0.75(0.3Li2O-0.7Li2S)-0.25P2S5,8.89E-05,0.4,,
0.75(0.2Li2O-0.8Li2S)-0.25P2S5,1.63E-04,0.38,,
0.75(0.1Li2O-0.9Li2S)-0.25P2S5,2.27E-04,0.36,,
0.75Li2S-0.25P2S5,1.80E-04,0.41,,
0.45Li2-0.55SiS2,1.08E-04,0.4,,
0.5Li2-0.5SiS2,3.36E-04,0.32,,
0.55Li2-0.45SiS2,6.53E-04,0.3,,
0.60Li2-0.4SiS2,1.19E-03,0.29,,
0.63Li2-0.37SiS2,1.05E-03,0.3,,
0.65Li2-0.35SiS2,7.41E-04,0.33,,
0.95(0.5Li2-0.5SiS2)-0.05(0.5Li2O-0.5P2O5),4.27E-04,0.38,,
0.95(0.53Li2-0.47SiS2)-0.05(0.53Li2O-0.47P2O5),5.91E-04,0.33,,
0.95(0.55Li2-0.45SiS2)-0.05(0.55Li2O-0.45P2O5),1.01E-03,0.34,,
0.95(0.58Li2-0.42SiS2)-0.05(0.58Li2O-0.42P2O5),1.06E-03,0.34,,
0.95(0.6Li2-0.4SiS2)-0.05(0.6Li2O-0.4P2O5),1.01E-03,0.27,,
0.95(0.63Li2-0.37SiS2)-0.05(0.63Li2O-0.37P2O5),8.71E-04,0.33,,
0.95(0.65Li2-0.35SiS2)-0.05(0.65Li2O-0.35P2O5),5.34E-04,0.32,,
0.95(0.67Li2-0.33SiS2)-0.05(0.67Li2O-0.33P2O5),1.99E-04,0.37,,
0.8(0.55Li2-0.45SiS2)-0.2(0.55Li2O-0.45P2O5),7.88E-05,0.41,,
0.8(0.6Li2-0.4SiS2)-0.2(0.6Li2O-0.4P2O5),7.69E-05,0.41,,
0.8(0.65Li2-0.35SiS2)-0.2(0.65Li2O-0.35P2O5),5.21E-05,0.42,,
